dataset,layers,benchmark_auc,simulated_auc
mnist_3,"batchnorm,dropout,whitening,layernorm,dense",0.954,0.971
mnist_3,"batchnorm,dropout,attention,residual,layernorm",0.954,0.98
mnist_3,"batchnorm,dropout,attention,residual,dense",0.954,0.979
mnist_3,"batchnorm,dropout,attention,layernorm,dense",0.954,0.976
mnist_3,"batchnorm,dropout,residual,layernorm,dense",0.954,0.975
mnist_3,"batchnorm,whitening,attention,residual,layernorm",0.954,0.981
mnist_3,"batchnorm,whitening,attention,residual,dense",0.954,0.98
mnist_3,"batchnorm,whitening,attention,layernorm,dense",0.954,0.977
mnist_3,"batchnorm,whitening,residual,layernorm,dense",0.954,0.976
mnist_3,"batchnorm,attention,residual,layernorm,dense",0.954,0.981
mnist_3,"dropout,whitening,attention,residual,layernorm",0.954,0.978
mnist_3,"dropout,whitening,attention,residual,dense",0.954,0.977
mnist_3,"dropout,whitening,attention,layernorm,dense",0.954,0.974
mnist_3,"dropout,whitening,residual,layernorm,dense",0.954,0.973
mnist_3,"dropout,attention,residual,layernorm,dense",0.954,0.978
mnist_3,"whitening,attention,residual,layernorm,dense",0.954,0.979
mnist_3,"batchnorm,dropout,whitening,attention,residual,layernorm",0.954,0.983
mnist_3,"batchnorm,dropout,whitening,attention,residual,dense",0.954,0.982
mnist_3,"batchnorm,dropout,whitening,attention,layernorm,dense",0.954,0.979
mnist_3,"batchnorm,dropout,whitening,residual,layernorm,dense",0.954,0.978
mnist_3,"batchnorm,dropout,attention,residual,layernorm,dense",0.954,0.983
mnist_3,"batchnorm,whitening,attention,residual,layernorm,dense",0.954,0.984
mnist_3,"dropout,whitening,attention,residual,layernorm,dense",0.954,0.981
mnist_3,"batchnorm,dropout,whitening,attention,residual,layernorm,dense",0.954,0.986
mnist_4,none,0.962,0.962
mnist_4,batchnorm,0.962,0.967
mnist_4,dropout,0.962,0.964
mnist_4,whitening,0.962,0.965
mnist_4,attention,0.962,0.97
mnist_4,residual,0.962,0.969
mnist_4,layernorm,0.962,0.966
mnist_4,dense,0.962,0.965
mnist_4,"batchnorm,dropout",0.962,0.969
mnist_4,"batchnorm,whitening",0.962,0.97
mnist_4,"batchnorm,attention",0.962,0.975
mnist_4,"batchnorm,residual",0.962,0.974
mnist_4,"batchnorm,layernorm",0.962,0.971
mnist_4,"batchnorm,dense",0.962,0.97
mnist_4,"dropout,whitening",0.962,0.967
mnist_4,"dropout,attention",0.962,0.972
mnist_4,"dropout,residual",0.962,0.971
mnist_4,"dropout,layernorm",0.962,0.968
mnist_4,"dropout,dense",0.962,0.967
mnist_4,"whitening,attention",0.962,0.973
mnist_4,"whitening,residual",0.962,0.972
mnist_4,"whitening,layernorm",0.962,0.969
mnist_4,"whitening,dense",0.962,0.968
mnist_4,"attention,residual",0.962,0.977
mnist_4,"attention,layernorm",0.962,0.974
mnist_4,"attention,dense",0.962,0.973
mnist_4,"residual,layernorm",0.962,0.973
mnist_4,"residual,dense",0.962,0.972
mnist_4,"layernorm,dense",0.962,0.969
mnist_4,"batchnorm,dropout,whitening",0.962,0.972
mnist_4,"batchnorm,dropout,attention",0.962,0.977
mnist_4,"batchnorm,dropout,residual",0.962,0.976
mnist_4,"batchnorm,dropout,layernorm",0.962,0.973
mnist_4,"batchnorm,dropout,dense",0.962,0.972
mnist_4,"batchnorm,whitening,attention",0.962,0.978
mnist_4,"batchnorm,whitening,residual",0.962,0.977
mnist_4,"batchnorm,whitening,layernorm",0.962,0.974
mnist_4,"batchnorm,whitening,dense",0.962,0.973
mnist_4,"batchnorm,attention,residual",0.962,0.982
mnist_4,"batchnorm,attention,layernorm",0.962,0.979
mnist_4,"batchnorm,attention,dense",0.962,0.978
mnist_4,"batchnorm,residual,layernorm",0.962,0.978
mnist_4,"batchnorm,residual,dense",0.962,0.977
mnist_4,"batchnorm,layernorm,dense",0.962,0.974
mnist_4,"dropout,whitening,attention",0.962,0.975
mnist_4,"dropout,whitening,residual",0.962,0.974
mnist_4,"dropout,whitening,layernorm",0.962,0.971
mnist_4,"dropout,whitening,dense",0.962,0.97
mnist_4,"dropout,attention,residual",0.962,0.979
mnist_4,"dropout,attention,layernorm",0.962,0.976
mnist_4,"dropout,attention,dense",0.962,0.975
mnist_4,"dropout,residual,layernorm",0.962,0.975
mnist_4,"dropout,residual,dense",0.962,0.974
mnist_4,"dropout,layernorm,dense",0.962,0.971
mnist_4,"whitening,attention,residual",0.962,0.98
mnist_4,"whitening,attention,layernorm",0.962,0.977
mnist_4,"whitening,attention,dense",0.962,0.976
mnist_4,"whitening,residual,layernorm",0.962,0.976
mnist_4,"whitening,residual,dense",0.962,0.975
mnist_4,"whitening,layernorm,dense",0.962,0.972
mnist_4,"attention,residual,layernorm",0.962,0.981
mnist_4,"attention,residual,dense",0.962,0.98
mnist_4,"attention,layernorm,dense",0.962,0.977
mnist_4,"residual,layernorm,dense",0.962,0.976
mnist_4,"batchnorm,dropout,whitening,attention",0.962,0.98
mnist_4,"batchnorm,dropout,whitening,residual",0.962,0.979
mnist_4,"batchnorm,dropout,whitening,layernorm",0.962,0.976
mnist_4,"batchnorm,dropout,whitening,dense",0.962,0.975
mnist_4,"batchnorm,dropout,attention,residual",0.962,0.984
mnist_4,"batchnorm,dropout,attention,layernorm",0.962,0.981
mnist_4,"batchnorm,dropout,attention,dense",0.962,0.98
mnist_4,"batchnorm,dropout,residual,layernorm",0.962,0.98
mnist_4,"batchnorm,dropout,residual,dense",0.962,0.979
mnist_4,"batchnorm,dropout,layernorm,dense",0.962,0.976
mnist_4,"batchnorm,whitening,attention,residual",0.962,0.985
mnist_4,"batchnorm,whitening,attention,layernorm",0.962,0.982
mnist_4,"batchnorm,whitening,attention,dense",0.962,0.981
mnist_4,"batchnorm,whitening,residual,layernorm",0.962,0.981
mnist_4,"batchnorm,whitening,residual,dense",0.962,0.98
mnist_4,"batchnorm,whitening,layernorm,dense",0.962,0.977
mnist_4,"batchnorm,attention,residual,layernorm",0.962,0.986
mnist_4,"batchnorm,attention,residual,dense",0.962,0.985
mnist_4,"batchnorm,attention,layernorm,dense",0.962,0.982
mnist_4,"batchnorm,residual,layernorm,dense",0.962,0.981
mnist_4,"dropout,whitening,attention,residual",0.962,0.982
mnist_4,"dropout,whitening,attention,layernorm",0.962,0.979
mnist_4,"dropout,whitening,attention,dense",0.962,0.978
mnist_4,"dropout,whitening,residual,layernorm",0.962,0.978
mnist_4,"dropout,whitening,residual,dense",0.962,0.977
mnist_4,"dropout,whitening,layernorm,dense",0.962,0.974
mnist_4,"dropout,attention,residual,layernorm",0.962,0.983
mnist_4,"dropout,attention,residual,dense",0.962,0.982
mnist_4,"dropout,attention,layernorm,dense",0.962,0.979
mnist_4,"dropout,residual,layernorm,dense",0.962,0.978
mnist_4,"whitening,attention,residual,layernorm",0.962,0.984
mnist_4,"whitening,attention,residual,dense",0.962,0.983
mnist_4,"whitening,attention,layernorm,dense",0.962,0.98
mnist_4,"whitening,residual,layernorm,dense",0.962,0.979
mnist_4,"attention,residual,layernorm,dense",0.962,0.984
mnist_4,"batchnorm,dropout,whitening,attention,residual",0.962,0.987
mnist_4,"batchnorm,dropout,whitening,attention,layernorm",0.962,0.984
mnist_4,"batchnorm,dropout,whitening,attention,dense",0.962,0.983
mnist_4,"batchnorm,dropout,whitening,residual,layernorm",0.962,0.983
mnist_4,"batchnorm,dropout,whitening,residual,dense",0.962,0.982
mnist_4,"batchnorm,dropout,whitening,layernorm,dense",0.962,0.979
mnist_4,"batchnorm,dropout,attention,residual,layernorm",0.962,0.988
mnist_4,"batchnorm,dropout,attention,residual,dense",0.962,0.987
mnist_4,"batchnorm,dropout,attention,layernorm,dense",0.962,0.984
mnist_4,"batchnorm,dropout,residual,layernorm,dense",0.962,0.983
mnist_4,"batchnorm,whitening,attention,residual,layernorm",0.962,0.989
mnist_4,"batchnorm,whitening,attention,residual,dense",0.962,0.988
mnist_4,"batchnorm,whitening,attention,layernorm,dense",0.962,0.985
mnist_4,"batchnorm,whitening,residual,layernorm,dense",0.962,0.984
mnist_4,"batchnorm,attention,residual,layernorm,dense",0.962,0.989
mnist_4,"dropout,whitening,attention,residual,layernorm",0.962,0.986
mnist_4,"dropout,whitening,attention,residual,dense",0.962,0.985
mnist_4,"dropout,whitening,attention,layernorm,dense",0.962,0.982
mnist_4,"dropout,whitening,residual,layernorm,dense",0.962,0.981
mnist_4,"dropout,attention,residual,layernorm,dense",0.962,0.986
mnist_4,"whitening,attention,residual,layernorm,dense",0.962,0.987
mnist_4,"batchnorm,dropout,whitening,attention,residual,layernorm",0.962,0.991
mnist_4,"batchnorm,dropout,whitening,attention,residual,dense",0.962,0.99
mnist_4,"batchnorm,dropout,whitening,attention,layernorm,dense",0.962,0.987
mnist_4,"batchnorm,dropout,whitening,residual,layernorm,dense",0.962,0.986
mnist_4,"batchnorm,dropout,attention,residual,layernorm,dense",0.962,0.991
mnist_4,"batchnorm,whitening,attention,residual,layernorm,dense",0.962,0.992
mnist_4,"dropout,whitening,attention,residual,layernorm,dense",0.962,0.989
mnist_4,"batchnorm,dropout,whitening,attention,residual,layernorm,dense",0.962,0.994
mnist_5,none,0.949,0.949
mnist_5,batchnorm,0.949,0.954
mnist_5,dropout,0.949,0.951
mnist_5,whitening,0.949,0.952
mnist_5,attention,0.949,0.957
mnist_5,residual,0.949,0.956
mnist_5,layernorm,0.949,0.953
mnist_5,dense,0.949,0.952
mnist_5,"batchnorm,dropout",0.949,0.956
mnist_5,"batchnorm,whitening",0.949,0.957
mnist_5,"batchnorm,attention",0.949,0.962
mnist_5,"batchnorm,residual",0.949,0.961
mnist_5,"batchnorm,layernorm",0.949,0.958
mnist_5,"batchnorm,dense",0.949,0.957
mnist_5,"dropout,whitening",0.949,0.954
mnist_5,"dropout,attention",0.949,0.959
mnist_5,"dropout,residual",0.949,0.958
mnist_5,"dropout,layernorm",0.949,0.955
mnist_5,"dropout,dense",0.949,0.954
mnist_5,"whitening,attention",0.949,0.96
mnist_5,"whitening,residual",0.949,0.959
mnist_5,"whitening,layernorm",0.949,0.956
mnist_5,"whitening,dense",0.949,0.955
mnist_5,"attention,residual",0.949,0.964
mnist_5,"attention,layernorm",0.949,0.961
mnist_5,"attention,dense",0.949,0.96
mnist_5,"residual,layernorm",0.949,0.96
mnist_5,"residual,dense",0.949,0.959
mnist_5,"layernorm,dense",0.949,0.956
mnist_5,"batchnorm,dropout,whitening",0.949,0.959
mnist_5,"batchnorm,dropout,attention",0.949,0.964
mnist_5,"batchnorm,dropout,residual",0.949,0.963
mnist_5,"batchnorm,dropout,layernorm",0.949,0.96
mnist_5,"batchnorm,dropout,dense",0.949,0.959
mnist_5,"batchnorm,whitening,attention",0.949,0.965
mnist_5,"batchnorm,whitening,residual",0.949,0.964
mnist_5,"batchnorm,whitening,layernorm",0.949,0.961
mnist_5,"batchnorm,whitening,dense",0.949,0.96
mnist_5,"batchnorm,attention,residual",0.949,0.969
mnist_5,"batchnorm,attention,layernorm",0.949,0.966
mnist_5,"batchnorm,attention,dense",0.949,0.965
mnist_5,"batchnorm,residual,layernorm",0.949,0.965
mnist_5,"batchnorm,residual,dense",0.949,0.964
mnist_5,"batchnorm,layernorm,dense",0.949,0.961
mnist_5,"dropout,whitening,attention",0.949,0.962
mnist_5,"dropout,whitening,residual",0.949,0.961
mnist_5,"dropout,whitening,layernorm",0.949,0.958
mnist_5,"dropout,whitening,dense",0.949,0.957
mnist_5,"dropout,attention,residual",0.949,0.966
mnist_5,"dropout,attention,layernorm",0.949,0.963
mnist_5,"dropout,attention,dense",0.949,0.962
mnist_5,"dropout,residual,layernorm",0.949,0.962
mnist_5,"dropout,residual,dense",0.949,0.961
mnist_5,"dropout,layernorm,dense",0.949,0.958
mnist_5,"whitening,attention,residual",0.949,0.967
mnist_5,"whitening,attention,layernorm",0.949,0.964
mnist_5,"whitening,attention,dense",0.949,0.963
mnist_5,"whitening,residual,layernorm",0.949,0.963
mnist_5,"whitening,residual,dense",0.949,0.962
mnist_5,"whitening,layernorm,dense",0.949,0.959
mnist_5,"attention,residual,layernorm",0.949,0.968
mnist_5,"attention,residual,dense",0.949,0.967
mnist_5,"attention,layernorm,dense",0.949,0.964
mnist_5,"residual,layernorm,dense",0.949,0.963
mnist_5,"batchnorm,dropout,whitening,attention",0.949,0.967
mnist_5,"batchnorm,dropout,whitening,residual",0.949,0.966
mnist_5,"batchnorm,dropout,whitening,layernorm",0.949,0.963
mnist_5,"batchnorm,dropout,whitening,dense",0.949,0.962
mnist_5,"batchnorm,dropout,attention,residual",0.949,0.971
mnist_5,"batchnorm,dropout,attention,layernorm",0.949,0.968
mnist_5,"batchnorm,dropout,attention,dense",0.949,0.967
mnist_5,"batchnorm,dropout,residual,layernorm",0.949,0.967
mnist_5,"batchnorm,dropout,residual,dense",0.949,0.966
mnist_5,"batchnorm,dropout,layernorm,dense",0.949,0.963
mnist_5,"batchnorm,whitening,attention,residual",0.949,0.972
mnist_5,"batchnorm,whitening,attention,layernorm",0.949,0.969
mnist_5,"batchnorm,whitening,attention,dense",0.949,0.968
mnist_5,"batchnorm,whitening,residual,layernorm",0.949,0.968
mnist_5,"batchnorm,whitening,residual,dense",0.949,0.967
mnist_5,"batchnorm,whitening,layernorm,dense",0.949,0.964
mnist_5,"batchnorm,attention,residual,layernorm",0.949,0.973
mnist_5,"batchnorm,attention,residual,dense",0.949,0.972
mnist_5,"batchnorm,attention,layernorm,dense",0.949,0.969
mnist_5,"batchnorm,residual,layernorm,dense",0.949,0.968
mnist_5,"dropout,whitening,attention,residual",0.949,0.969
mnist_5,"dropout,whitening,attention,layernorm",0.949,0.966
mnist_5,"dropout,whitening,attention,dense",0.949,0.965
mnist_5,"dropout,whitening,residual,layernorm",0.949,0.965
mnist_5,"dropout,whitening,residual,dense",0.949,0.964
mnist_5,"dropout,whitening,layernorm,dense",0.949,0.961
mnist_5,"dropout,attention,residual,layernorm",0.949,0.97
mnist_5,"dropout,attention,residual,dense",0.949,0.969
mnist_5,"dropout,attention,layernorm,dense",0.949,0.966
mnist_5,"dropout,residual,layernorm,dense",0.949,0.965
mnist_5,"whitening,attention,residual,layernorm",0.949,0.971
mnist_5,"whitening,attention,residual,dense",0.949,0.97
mnist_5,"whitening,attention,layernorm,dense",0.949,0.967
mnist_5,"whitening,residual,layernorm,dense",0.949,0.966
mnist_5,"attention,residual,layernorm,dense",0.949,0.971
mnist_5,"batchnorm,dropout,whitening,attention,residual",0.949,0.974
mnist_5,"batchnorm,dropout,whitening,attention,layernorm",0.949,0.971
mnist_5,"batchnorm,dropout,whitening,attention,dense",0.949,0.97
mnist_5,"batchnorm,dropout,whitening,residual,layernorm",0.949,0.97
mnist_5,"batchnorm,dropout,whitening,residual,dense",0.949,0.969
mnist_5,"batchnorm,dropout,whitening,layernorm,dense",0.949,0.966
mnist_5,"batchnorm,dropout,attention,residual,layernorm",0.949,0.975
mnist_5,"batchnorm,dropout,attention,residual,dense",0.949,0.974
mnist_5,"batchnorm,dropout,attention,layernorm,dense",0.949,0.971
mnist_5,"batchnorm,dropout,residual,layernorm,dense",0.949,0.97
mnist_5,"batchnorm,whitening,attention,residual,layernorm",0.949,0.976
mnist_5,"batchnorm,whitening,attention,residual,dense",0.949,0.975
mnist_5,"batchnorm,whitening,attention,layernorm,dense",0.949,0.972
mnist_5,"batchnorm,whitening,residual,layernorm,dense",0.949,0.971
mnist_5,"batchnorm,attention,residual,layernorm,dense",0.949,0.976
mnist_5,"dropout,whitening,attention,residual,layernorm",0.949,0.973
mnist_5,"dropout,whitening,attention,residual,dense",0.949,0.972
mnist_5,"dropout,whitening,attention,layernorm,dense",0.949,0.969
mnist_5,"dropout,whitening,residual,layernorm,dense",0.949,0.968
mnist_5,"dropout,attention,residual,layernorm,dense",0.949,0.973
mnist_5,"whitening,attention,residual,layernorm,dense",0.949,0.974
mnist_5,"batchnorm,dropout,whitening,attention,residual,layernorm",0.949,0.978
mnist_5,"batchnorm,dropout,whitening,attention,residual,dense",0.949,0.977
mnist_5,"batchnorm,dropout,whitening,attention,layernorm,dense",0.949,0.974
mnist_5,"batchnorm,dropout,whitening,residual,layernorm,dense",0.949,0.973
mnist_5,"batchnorm,dropout,attention,residual,layernorm,dense",0.949,0.978
mnist_5,"batchnorm,whitening,attention,residual,layernorm,dense",0.949,0.979
mnist_5,"dropout,whitening,attention,residual,layernorm,dense",0.949,0.976
mnist_5,"batchnorm,dropout,whitening,attention,residual,layernorm,dense",0.949,0.981
mnist_6,none,0.971,0.971
mnist_6,batchnorm,0.971,0.976
mnist_6,dropout,0.971,0.973
mnist_6,whitening,0.971,0.974
mnist_6,attention,0.971,0.979
mnist_6,residual,0.971,0.978
mnist_6,layernorm,0.971,0.975
mnist_6,dense,0.971,0.974
mnist_6,"batchnorm,dropout",0.971,0.978
mnist_6,"batchnorm,whitening",0.971,0.979
mnist_6,"batchnorm,attention",0.971,0.984
mnist_6,"batchnorm,residual",0.971,0.983
mnist_6,"batchnorm,layernorm",0.971,0.98
mnist_6,"batchnorm,dense",0.971,0.979
mnist_6,"dropout,whitening",0.971,0.976
mnist_6,"dropout,attention",0.971,0.981
mnist_6,"dropout,residual",0.971,0.98
mnist_6,"dropout,layernorm",0.971,0.977
mnist_6,"dropout,dense",0.971,0.976
mnist_6,"whitening,attention",0.971,0.982
mnist_6,"whitening,residual",0.971,0.981
mnist_6,"whitening,layernorm",0.971,0.978
mnist_6,"whitening,dense",0.971,0.977
mnist_6,"attention,residual",0.971,0.986
mnist_6,"attention,layernorm",0.971,0.983
mnist_6,"attention,dense",0.971,0.982
mnist_6,"residual,layernorm",0.971,0.982
mnist_6,"residual,dense",0.971,0.981
mnist_6,"layernorm,dense",0.971,0.978
mnist_6,"batchnorm,dropout,whitening",0.971,0.981
mnist_6,"batchnorm,dropout,attention",0.971,0.986
mnist_6,"batchnorm,dropout,residual",0.971,0.985
mnist_6,"batchnorm,dropout,layernorm",0.971,0.982
mnist_6,"batchnorm,dropout,dense",0.971,0.981
mnist_6,"batchnorm,whitening,attention",0.971,0.987
mnist_6,"batchnorm,whitening,residual",0.971,0.986
mnist_6,"batchnorm,whitening,layernorm",0.971,0.983
mnist_6,"batchnorm,whitening,dense",0.971,0.982
mnist_6,"batchnorm,attention,residual",0.971,0.991
mnist_6,"batchnorm,attention,layernorm",0.971,0.988
mnist_6,"batchnorm,attention,dense",0.971,0.987
mnist_6,"batchnorm,residual,layernorm",0.971,0.987
mnist_6,"batchnorm,residual,dense",0.971,0.986
mnist_6,"batchnorm,layernorm,dense",0.971,0.983
mnist_6,"dropout,whitening,attention",0.971,0.984
mnist_6,"dropout,whitening,residual",0.971,0.983
mnist_6,"dropout,whitening,layernorm",0.971,0.98
mnist_6,"dropout,whitening,dense",0.971,0.979
mnist_6,"dropout,attention,residual",0.971,0.988
mnist_6,"dropout,attention,layernorm",0.971,0.985
mnist_6,"dropout,attention,dense",0.971,0.984
mnist_6,"dropout,residual,layernorm",0.971,0.984
mnist_6,"dropout,residual,dense",0.971,0.983
mnist_6,"dropout,layernorm,dense",0.971,0.98
mnist_6,"whitening,attention,residual",0.971,0.989
mnist_6,"whitening,attention,layernorm",0.971,0.986
mnist_6,"whitening,attention,dense",0.971,0.985
mnist_6,"whitening,residual,layernorm",0.971,0.985
mnist_6,"whitening,residual,dense",0.971,0.984
mnist_6,"whitening,layernorm,dense",0.971,0.981
mnist_6,"attention,residual,layernorm",0.971,0.99
mnist_6,"attention,residual,dense",0.971,0.989
mnist_6,"attention,layernorm,dense",0.971,0.986
mnist_6,"residual,layernorm,dense",0.971,0.985
mnist_6,"batchnorm,dropout,whitening,attention",0.971,0.989
mnist_6,"batchnorm,dropout,whitening,residual",0.971,0.988
mnist_6,"batchnorm,dropout,whitening,layernorm",0.971,0.985
mnist_6,"batchnorm,dropout,whitening,dense",0.971,0.984
mnist_6,"batchnorm,dropout,attention,residual",0.971,0.993
mnist_6,"batchnorm,dropout,attention,layernorm",0.971,0.99
mnist_6,"batchnorm,dropout,attention,dense",0.971,0.989
mnist_6,"batchnorm,dropout,residual,layernorm",0.971,0.989
mnist_6,"batchnorm,dropout,residual,dense",0.971,0.988
mnist_6,"batchnorm,dropout,layernorm,dense",0.971,0.985
mnist_6,"batchnorm,whitening,attention,residual",0.971,0.994
mnist_6,"batchnorm,whitening,attention,layernorm",0.971,0.991
mnist_6,"batchnorm,whitening,attention,dense",0.971,0.99
mnist_6,"batchnorm,whitening,residual,layernorm",0.971,0.99
mnist_6,"batchnorm,whitening,residual,dense",0.971,0.989
mnist_6,"batchnorm,whitening,layernorm,dense",0.971,0.986
mnist_6,"batchnorm,attention,residual,layernorm",0.971,0.995
mnist_6,"batchnorm,attention,residual,dense",0.971,0.994
mnist_6,"batchnorm,attention,layernorm,dense",0.971,0.991
mnist_6,"batchnorm,residual,layernorm,dense",0.971,0.99
mnist_6,"dropout,whitening,attention,residual",0.971,0.991
mnist_6,"dropout,whitening,attention,layernorm",0.971,0.988
mnist_6,"dropout,whitening,attention,dense",0.971,0.987
mnist_6,"dropout,whitening,residual,layernorm",0.971,0.987
mnist_6,"dropout,whitening,residual,dense",0.971,0.986
mnist_6,"dropout,whitening,layernorm,dense",0.971,0.983
mnist_6,"dropout,attention,residual,layernorm",0.971,0.992
mnist_6,"dropout,attention,residual,dense",0.971,0.991
mnist_6,"dropout,attention,layernorm,dense",0.971,0.988
mnist_6,"dropout,residual,layernorm,dense",0.971,0.987
mnist_6,"whitening,attention,residual,layernorm",0.971,0.993
mnist_6,"whitening,attention,residual,dense",0.971,0.992
mnist_6,"whitening,attention,layernorm,dense",0.971,0.989
mnist_6,"whitening,residual,layernorm,dense",0.971,0.988
mnist_6,"attention,residual,layernorm,dense",0.971,0.993
mnist_6,"batchnorm,dropout,whitening,attention,residual",0.971,0.996
mnist_6,"batchnorm,dropout,whitening,attention,layernorm",0.971,0.993
mnist_6,"batchnorm,dropout,whitening,attention,dense",0.971,0.992
mnist_6,"batchnorm,dropout,whitening,residual,layernorm",0.971,0.992
mnist_6,"batchnorm,dropout,whitening,residual,dense",0.971,0.991
mnist_6,"batchnorm,dropout,whitening,layernorm,dense",0.971,0.988
mnist_6,"batchnorm,dropout,attention,residual,layernorm",0.971,0.996
mnist_6,"batchnorm,dropout,attention,residual,dense",0.971,0.996
mnist_6,"batchnorm,dropout,attention,layernorm,dense",0.971,0.993
mnist_6,"batchnorm,dropout,residual,layernorm,dense",0.971,0.992
mnist_6,"batchnorm,whitening,attention,residual,layernorm",0.971,0.996
mnist_6,"batchnorm,whitening,attention,residual,dense",0.971,0.996
mnist_6,"batchnorm,whitening,attention,layernorm,dense",0.971,0.994
mnist_6,"batchnorm,whitening,residual,layernorm,dense",0.971,0.993
mnist_6,"batchnorm,attention,residual,layernorm,dense",0.971,0.996
mnist_6,"dropout,whitening,attention,residual,layernorm",0.971,0.995
mnist_6,"dropout,whitening,attention,residual,dense",0.971,0.994
mnist_6,"dropout,whitening,attention,layernorm,dense",0.971,0.991
mnist_6,"dropout,whitening,residual,layernorm,dense",0.971,0.99
mnist_6,"dropout,attention,residual,layernorm,dense",0.971,0.995
mnist_6,"whitening,attention,residual,layernorm,dense",0.971,0.996
mnist_6,"batchnorm,dropout,whitening,attention,residual,layernorm",0.971,0.996
mnist_6,"batchnorm,dropout,whitening,attention,residual,dense",0.971,0.996
mnist_6,"batchnorm,dropout,whitening,attention,layernorm,dense",0.971,0.996
mnist_6,"batchnorm,dropout,whitening,residual,layernorm,dense",0.971,0.995
mnist_6,"batchnorm,dropout,attention,residual,layernorm,dense",0.971,0.996
mnist_6,"batchnorm,whitening,attention,residual,layernorm,dense",0.971,0.996
mnist_6,"dropout,whitening,attention,residual,layernorm,dense",0.971,0.996
mnist_6,"batchnorm,dropout,whitening,attention,residual,layernorm,dense",0.971,0.996
mnist_7,none,0.978,0.978
mnist_7,batchnorm,0.978,0.983
mnist_7,dropout,0.978,0.98
mnist_7,whitening,0.978,0.981
mnist_7,attention,0.978,0.986
mnist_7,residual,0.978,0.985
mnist_7,layernorm,0.978,0.982
mnist_7,dense,0.978,0.981
mnist_7,"batchnorm,dropout",0.978,0.985
mnist_7,"batchnorm,whitening",0.978,0.986
mnist_7,"batchnorm,attention",0.978,0.991
mnist_7,"batchnorm,residual",0.978,0.99
mnist_7,"batchnorm,layernorm",0.978,0.987
mnist_7,"batchnorm,dense",0.978,0.986
mnist_7,"dropout,whitening",0.978,0.983
mnist_7,"dropout,attention",0.978,0.988
mnist_7,"dropout,residual",0.978,0.987
mnist_7,"dropout,layernorm",0.978,0.984
mnist_7,"dropout,dense",0.978,0.983
mnist_7,"whitening,attention",0.978,0.989
mnist_7,"whitening,residual",0.978,0.988
mnist_7,"whitening,layernorm",0.978,0.985
mnist_7,"whitening,dense",0.978,0.984
mnist_7,"attention,residual",0.978,0.993
mnist_7,"attention,layernorm",0.978,0.99
mnist_7,"attention,dense",0.978,0.989
mnist_7,"residual,layernorm",0.978,0.989
mnist_7,"residual,dense",0.978,0.988
mnist_7,"layernorm,dense",0.978,0.985
mnist_7,"batchnorm,dropout,whitening",0.978,0.988
mnist_7,"batchnorm,dropout,attention",0.978,0.993
mnist_7,"batchnorm,dropout,residual",0.978,0.992
mnist_7,"batchnorm,dropout,layernorm",0.978,0.989
mnist_7,"batchnorm,dropout,dense",0.978,0.988
mnist_7,"batchnorm,whitening,attention",0.978,0.994
mnist_7,"batchnorm,whitening,residual",0.978,0.993
mnist_7,"batchnorm,whitening,layernorm",0.978,0.99
mnist_7,"batchnorm,whitening,dense",0.978,0.989
mnist_7,"batchnorm,attention,residual",0.978,0.996
mnist_7,"batchnorm,attention,layernorm",0.978,0.995
mnist_7,"batchnorm,attention,dense",0.978,0.994
mnist_7,"batchnorm,residual,layernorm",0.978,0.994
mnist_7,"batchnorm,residual,dense",0.978,0.993
mnist_7,"batchnorm,layernorm,dense",0.978,0.99
mnist_7,"dropout,whitening,attention",0.978,0.991
mnist_7,"dropout,whitening,residual",0.978,0.99
mnist_7,"dropout,whitening,layernorm",0.978,0.987
mnist_7,"dropout,whitening,dense",0.978,0.986
mnist_7,"dropout,attention,residual",0.978,0.995
mnist_7,"dropout,attention,layernorm",0.978,0.992
mnist_7,"dropout,attention,dense",0.978,0.991
mnist_7,"dropout,residual,layernorm",0.978,0.991
mnist_7,"dropout,residual,dense",0.978,0.99
mnist_7,"dropout,layernorm,dense",0.978,0.987
mnist_7,"whitening,attention,residual",0.978,0.996
mnist_7,"whitening,attention,layernorm",0.978,0.993
mnist_7,"whitening,attention,dense",0.978,0.992
mnist_7,"whitening,residual,layernorm",0.978,0.992
mnist_7,"whitening,residual,dense",0.978,0.991
mnist_7,"whitening,layernorm,dense",0.978,0.988
mnist_7,"attention,residual,layernorm",0.978,0.996
mnist_7,"attention,residual,dense",0.978,0.996
mnist_7,"attention,layernorm,dense",0.978,0.993
mnist_7,"residual,layernorm,dense",0.978,0.992
mnist_7,"batchnorm,dropout,whitening,attention",0.978,0.996
mnist_7,"batchnorm,dropout,whitening,residual",0.978,0.995
mnist_7,"batchnorm,dropout,whitening,layernorm",0.978,0.992
mnist_7,"batchnorm,dropout,whitening,dense",0.978,0.991
mnist_7,"batchnorm,dropout,attention,residual",0.978,0.996
mnist_7,"batchnorm,dropout,attention,layernorm",0.978,0.996
mnist_7,"batchnorm,dropout,attention,dense",0.978,0.996
mnist_7,"batchnorm,dropout,residual,layernorm",0.978,0.996
mnist_7,"batchnorm,dropout,residual,dense",0.978,0.995
mnist_7,"batchnorm,dropout,layernorm,dense",0.978,0.992
mnist_7,"batchnorm,whitening,attention,residual",0.978,0.996
mnist_7,"batchnorm,whitening,attention,layernorm",0.978,0.996
mnist_7,"batchnorm,whitening,attention,dense",0.978,0.996
